Country Name,If Closed due to COVID19 When,Income Level,Region Name,School Status,Year Pre,Year Prm,Year Sec,Year Ter,Latitude,Longitude,Total Enrollment,Total Pre Primary,Total Primary Students,Total Secondary Students,Total Tertiary Students,Enrollment Txt,Se Pre Enrl,Se Prm Enrl,Seconday Enrollment,Tertiary Enrollment
India,24-Mar-20,Lower middle income,South Asia,Closed,2017,2017,2018,2018,22.741,78.236,320713792,10004418,143227424,133144368,34337592,"32,07,13,792","1,00,04,418","14,32,27,424","13,31,44,368","3,43,37,592"
Zimbabwe,24-Mar-20,Lower middle income,Sub-Saharan Africa,Closed,2013,2013,2013,2015,-19.098,30.047,4130348,374125,2663187,957461,135575,"41,30,348","3,74,125","26,63,187","9,57,461","1,35,575"
St. Kitts and Nevis,26-Mar,High income,Latin America and Caribbean,Closed,2016,2016,2016,2015,17.147,-62.58,14410,1275,5452,4175,3508,14410,"1,275","5,452","4,175","3,508"
Barbados,27-Mar,High income,Latin America and Caribbean,Closed,2018,2018,2018,2011,13.1898,-59.559,57530,5320,20218,19571,12421,57530,"5,320","20,218","19,571","12,421"
Palau,Apirl 3,High income,East Asia and Pacific,Closed,2014,2014,2014,2013,7.5288,134.5573,4624,518,1639,1604,863,4624,518,"1,639","1,604",863
"Micronesia, Fed. Sts.","Each State responsible so there isn't one set date but for the last two weeks of March, all schools have been closed.",Lower middle income,East Asia and Pacific,Closed,2015,2015,2005,2000,7.531,150.457,31195,2264,13758,13634,1539,31195,"2,264","13,758","13,634","1,539"
Myanmar,Schools closed because of holidays,Lower middle income,East Asia and Pacific,Closed,2018,2018,2018,2018,21.841,96.05,10572809,154103,5299765,4186742,932199,"1,05,72,809","1,54,103","52,99,765","41,86,742","9,32,199"
Canada,13-Mar,High income,North America,Closed (in select areas),1996,2017,2017,2017,59.2067,-111.1937,7152802,509589,2364626,2653009,1625578,"71,52,802","5,09,589","23,64,626","26,53,009","16,25,578"
Cambodia,14-Mar-20,Lower middle income,East Asia and Pacific,Closed (in select areas),2018,2018,2008,2018,12.69,104.444,3541740,252743,2147313,930200,211484,"35,41,740","2,52,743","21,47,313","9,30,200","2,11,484"
Nigeria,18-Mar-20,Lower middle income,Sub-Saharan Africa,Closed (in select areas),2010,2016,2016,2011,9.3417,7.678,39440016,2020668,25591180,10314796,1513371,"3,94,40,016","20,20,668","2,55,91,180","1,03,14,796","15,13,371"
Marshall Islands,,Upper middle income,East Asia and Pacific,Seasonal school closures,2016,2016,2016,2012,5.961,169.651,15933,1162,7941,5500,1330,15933,"1,162","7,941","5,500","1,330"
Kuwait,1-Mar-20,High income,Middle East and North Africa,Seasonal school closures,2018,2018,2015,2018,29.3169,47.4272,777169,78830,279956,302047,116336,"7,77,169","78,830","2,79,956","3,02,047","1,16,336"
Lebanon,2-Mar-20,Upper middle income,Middle East and North Africa,Seasonal school closures,2018,2018,2018,2018,34.161,36.021,1363393,220396,509280,402502,231215,"13,63,393","2,20,396","5,09,280","4,02,502","2,31,215"
United Arab Emirates,8-Mar-20,High income,Middle East and North Africa,Seasonal school closures,2017,2017,2017,2017,23.9299,53.9031,1362359,155999,486086,528480,191794,"13,62,359","1,55,999","4,86,086","5,28,480","1,91,794"
Qatar,10-Mar-20,High income,Middle East and North Africa,Seasonal school closures,2018,2018,2018,2018,25.3174,51.1522,343524,48411,153908,107537,33668,"3,43,524","48,411","1,53,908","1,07,537","33,668"
Algeria,12-Mar-20,Upper middle income,Middle East and North Africa,Seasonal school closures,2011,2018,2011,2018,28.6045,2.64,11093218,490035,4429994,4572513,1600676,"1,10,93,218","4,90,035","44,29,994","45,72,513","16,00,676"
Tunisia,12-Mar-20,Lower middle income,Middle East and North Africa,Seasonal school closures,2016,2018,2016,2018,35.594,9.421,2771845,250813,1201736,1047035,272261,"27,71,845","2,50,813","12,01,736","10,47,035","2,72,261"
Libya,13-Mar-20,Upper middle income,Middle East and North Africa,Seasonal school closures,2006,2006,2006,2003,27.24,17.571,1885226,22246,755338,732614,375028,"18,85,226","22,246","7,55,338","7,32,614","3,75,028"
"Egypt, Arab Rep.",15-Mar-20,Lower middle income,Middle East and North Africa,Seasonal school closures,2018,2018,2018,2017,26.16,28.742,26071892,1377342,12643289,9136789,2914473,"2,60,71,892","13,77,342","1,26,43,289","91,36,789","29,14,473"
Oman,15-Mar-20,High income,Middle East and North Africa,Seasonal school closures,2018,2018,2018,2018,19.85,56.25,900153,79246,278745,422440,119722,"9,00,153","79,246","2,78,745","4,22,440","1,19,722"
Malta,17-Mar-20,High income,Middle East and North Africa,Seasonal school closures,2017,2017,2017,2017,35.9024,14.4137,80205,9224,25796,30760,14425,80205,"9,224","25,796","30,760","14,425"
Bahrain,25-Feb-20,High income,Middle East and North Africa,Seasonal school closures,2018,2018,2018,2018,26.025,50.5534,292429,34585,113878,99026,44940,"2,92,429","34,585","1,13,878","99,026","44,940"
Djibouti,25-Mar-20,Lower middle income,Middle East and North Africa,Seasonal school closures,2019,2019,2019,2011,11.41,42.165,142564,3659,68701,65499,4705,"1,42,564","3,659","68,701","65,499","4,705"
Iraq,27-Feb-20,Upper middle income,Middle East and North Africa,Seasonal school closures,2007,2007,2007,2005,33.545,43.278,7435696,108929,4864350,2037509,424908,"74,35,696","1,08,929","48,64,350","20,37,509","4,24,908"
Belarus,,Upper middle income,Europe and Central Asia,Open with limitations,2018,2018,2018,2018,53.3292,27.9492,1815809,349373,427752,649357,389327,"18,15,809","3,49,373","4,27,752","6,49,357","3,89,327"
Brunei Darussalam,,High income,East Asia and Pacific,Open with limitations,2018,2018,2018,2018,4.452,114.557,108360,13869,39472,44079,10940,"1,08,360","13,869","39,472","44,079","10,940"
Japan,,High income,East Asia and Pacific,Open with limitations,2017,2017,2017,2017,35.962,137.855,20349962,2872084,6531731,7093113,3853034,"2,03,49,962","28,72,084","65,31,731","70,93,113","38,53,034"
Liberia,,Low income,Sub-Saharan Africa,Open with limitations,2017,2017,2015,2012,6.51,-9.33,1415811,509618,635478,226832,43883,"14,15,811","5,09,618","6,35,478","2,26,832","43,883"
Nicaragua,,Lower middle income,Latin America and Caribbean,Open with limitations,2010,2010,2010,2002,12.692,-85.03,1707371,218062,923745,465201,100363,"17,07,371","2,18,062","9,23,745","4,65,201","1,00,363"
Sweden,,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,66.2188,19,2665410,461746,861086,916224,426354,"26,65,410","4,61,746","8,61,086","9,16,224","4,26,354"
Portugal,8-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,40.957,-7.9373,2000703,253959,629804,769977,346963,"20,00,703","2,53,959","6,29,804","7,69,977","3,46,963"
Albania,9-Mar,Upper middle income,Europe and Central Asia,Open with limitations,2018,2018,2018,2018,40.654,20.076,652592,81026,170861,268872,131833,"6,52,592","81,026","1,70,861","2,68,872","1,31,833"
Iceland,9-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,64.826,-18.417,98224,13115,31981,35161,17967,98224,"13,115","31,981","35,161","17,967"
"Iran, Islamic Rep.",1-Mar-20,Upper middle income,Middle East and North Africa,Open with limitations,2016,2017,2017,2017,33.408,54.0418,18635824,706093,8171667,5684238,4073827,"1,86,35,824","7,06,093","81,71,667","56,84,238","40,73,827"
Singapore,4-Apr-20,High income,East Asia and Pacific,Open with limitations,1989,2017,2017,2017,1.3389,103.8297,618445,17858,234653,171319,194615,"6,18,445","17,858","2,34,653","1,71,319","1,94,615"
Australia,7-Mar-20,High income,East Asia and Pacific,Open with limitations,2017,2017,2017,2017,-24.578,133.582,7170490,528373,2216779,2650486,1774852,"71,70,490","5,28,373","22,16,779","26,50,486","17,74,852"
Hungary,10-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,47.174,19.618,1791758,306065,390970,807705,287018,"17,91,758","3,06,065","3,90,970","8,07,705","2,87,018"
"Hong Kong SAR, China",10-Feb-20,High income,East Asia and Pacific,Open with limitations,2018,2018,2018,2018,22.4114,114.0599,1196009.8,182995,365732,349086,298197,"11,96,009.80","1,82,995","3,65,732","3,49,086","2,98,196.72"
Cyprus,11-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,34.894,32.928,180617,24280,55862,55212,45263,"1,80,617","24,280","55,862","55,212","45,263"
Poland,11-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,52.442,19.72,7553488,1299138,2296529,2407618,1550203,"75,53,488","12,99,138","22,96,529","24,07,618","15,50,203"
Romania,11-Mar,Upper middle income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,45.933,25.119,3483465,521196,928245,1502438,531586,"34,83,465","5,21,196","9,28,245","15,02,438","5,31,586"
Austria,12-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,47.65,14.705,1708540.1,255875,334933,687361.75,430370,"17,08,540.10","2,55,874.83","3,34,933.16","6,87,361.75","4,30,370.41"
Belgium,12-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,50.6745,4.4588,2984498,455934,814974,1186830,526760,"29,84,498","4,55,934","8,14,974","11,86,830","5,26,760"
Denmark,12-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,56.113,9.096,1497943,178961,472523,534080,312379,"14,97,943","1,78,961","4,72,523","5,34,080","3,12,379"
Lithuania,12-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,55.342,24.23,586120,103736,113881,242640,125863,"5,86,120","1,03,736","1,13,881","2,42,640","1,25,863"
Norway,12-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,61.3701,9.3031,1357563,181358,444638,447525,284042,"13,57,563","1,81,358","4,44,638","4,47,525","2,84,042"
Ukraine,12-Mar,Lower middle income,Europe and Central Asia,Open with limitations,2018,2018,2018,2018,49.364,32.132,6785004,1116970,1676550,2376848,1614636,"67,85,004","11,16,970","16,76,550","23,76,848","16,14,636"
Armenia,13-Mar,Upper middle income,Europe and Central Asia,Open with limitations,2018,2018,2018,2018,40.56,44.449,540503,49214,153415,234983,102891,"5,40,503","49,214","1,53,415","2,34,983","1,02,891"
Germany,13-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,51.3819,9.9877,15382694,2307513,2954775,7028712.5,3091694,"1,53,82,694","23,07,513","29,54,775","70,28,712.50","30,91,694"
Spain,13-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,40.617,-3.388,9706284,1321027,3042396,3332678,2010183,"97,06,284","13,21,027","30,42,396","33,32,678","20,10,183"
Estonia,13-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,58.777,25.977,272781,56724,85617,82646,47794,"2,72,781","56,724","85,617","82,646","47,794"
Israel,13-Mar-20,High income,Middle East and North Africa,Open with limitations,2017,2017,2017,2017,30.992,34.834,2648636,534846,917118,819462,377210,"26,48,636","5,34,846","9,17,118","8,19,462","3,77,210"
Finland,16-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,62.716,26.192,1409324,206370,363990,543436,295528,"14,09,324","2,06,370","3,63,990","5,43,436","2,95,528"
Croatia,16-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,45.754,16.385,787188,119198,162955,339838,165197,"7,87,188","1,19,198","1,62,955","3,39,838","1,65,197"
Luxembourg,16-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,49.671,6.113,109897,17176,37452,48211,7058,"1,09,897","17,176","37,452","48,211","7,058"
Netherlands,16-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,52.1704,5.0102,4211999,504272,1181893,1650379,875455,"42,11,999","5,04,272","11,81,893","16,50,379","8,75,455"
Slovak Republic,16-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,48.8595,19.4434,988103,165009,225427,441619,156048,"9,88,103","1,65,009","2,25,427","4,41,619","1,56,048"
Slovenia,16-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,46.037,14.534,412224,60759,123998,147920,79547,"4,12,224","60,759","1,23,998","1,47,920","79,547"
Uruguay,16-Mar,High income,Latin America and Caribbean,Open with limitations,2017,2017,2017,2017,-32.948,-56.249,956304,132580,304309,356952,162463,"9,56,304","1,32,580","3,04,309","3,56,952","1,62,463"
Burkina Faso,16-Mar-20,Low income,Sub-Saharan Africa,Open with limitations,2018,2018,2018,2018,12.673,-1.226,4686723,81931,3206060,1281007,117725,"46,86,723","81,931","32,06,060","12,81,007","1,17,725"
Cote d'Ivoire,16-Mar-20,Lower middle income,Sub-Saharan Africa,Open with limitations,2018,2018,2018,2017,7.497,-5.336,6338832,180176,3900222,2040520,217914,"63,38,832","1,80,176","39,00,222","20,40,520","2,17,914"
Ghana,16-Mar-20,Lower middle income,Sub-Saharan Africa,Open with limitations,2019,2019,2019,2018,7.258,-1.062,9696756,1852028,4549875,2851160,443693,"96,96,756","18,52,028","45,49,875","28,51,160","4,43,693"
Switzerland,17-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,46.7794,8.0329,1589837,172688,507686,608845,300618,"15,89,837","1,72,688","5,07,686","6,08,845","3,00,618"
France,17-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,46.656,2.543,15462340,2561237,4309942,6058330,2532831,"1,54,62,340","25,61,237","43,09,942","60,58,330","25,32,831"
"Korea, Rep.",18-Feb-20,High income,East Asia and Pacific,Open with limitations,2017,2017,2017,2017,36.338,128.16,10181358,1291111,2681815,3072037,3136395,"1,01,81,358","12,91,111","26,81,815","30,72,037","31,36,395"
Cameroon,18-Mar-20,Lower middle income,Sub-Saharan Africa,Open with limitations,2018,2018,2016,2017,4.4,12.131,7215039,515914,4201988,2206878,290259,"72,15,039","5,15,914","42,01,988","22,06,878","2,90,259"
Lao PDR,18-Mar-20,Lower middle income,East Asia and Pacific,Open with limitations,2018,2018,2018,2018,19.595,102.538,1787732,217918,786246,678129,105439,"17,87,732","2,17,918","7,86,246","6,78,129","1,05,439"
South Africa,18-Mar-20,Upper middle income,Sub-Saharan Africa,Open with limitations,2017,2017,2017,2017,-31.7,23.441,14612546,862195,7582154,5052180,1116017,"1,46,12,546","8,62,195","75,82,154","50,52,180","11,16,017"
United Kingdom,20-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,52.289,-1.259,15401610,1763125,4820283,6386316.5,2431887,"1,54,01,610","17,63,125","48,20,283","63,86,316.50","24,31,886.50"
Niger,20-Mar-20,Low income,Sub-Saharan Africa,Open with limitations,2018,2017,2017,2018,16.996,9.915,3821784,186772,2768305,786582,80125,"38,21,784","1,86,772","27,68,305","7,86,582","80,125"
Chad,20-Mar-20,Low income,Sub-Saharan Africa,Open with limitations,2016,2016,2016,2015,15.981,18.781,2804270,14114,2213223,535112,41821,"28,04,270","14,114","22,13,223","5,35,112","41,821"
Togo,20-Mar-20,Low income,Sub-Saharan Africa,Open with limitations,2018,2018,2017,2018,7.7,1.106,2534486,155739,1548876,727949,101922,"25,34,486","1,55,739","15,48,876","7,27,949","1,01,922"
Zambia,20-Mar-20,Lower middle income,Sub-Saharan Africa,Open with limitations,2016,2017,1994,2012,-15.13,25.268,3710456,160295,3284841,208640,56680,"37,10,456","1,60,295","32,84,841","2,08,640","56,680"
Botswana,23-Mar-20,Upper middle income,Sub-Saharan Africa,Open with limitations,2015,2015,2008,2017,-22.126,23.662,595707,33425,344618,168220,49444,"5,95,707","33,425","3,44,618","1,68,220","49,444"
New Zealand,24-Mar-20,High income,East Asia and Pacific,Open with limitations,2017,2017,2017,2017,-42.558,172.377,1256983.3,117753,384251,486333.88,268646,"12,56,983.30","1,17,752.70","3,84,251","4,86,333.88","2,68,645.66"
Papua New Guinea,24-Mar-20,Lower middle income,East Asia and Pacific,Open with limitations,2016,2016,2016,1999,-5.636,142.798,2150504,358198,1275085,507278,9943,"21,50,504","3,58,198","12,75,085","5,07,278","9,943"
China,25-Jan-20,Upper middle income,East Asia and Pacific,Open with limitations,2018,2018,2018,2018,35.1753,99.3877,277131392,46001393,101872976,84321856,44935168,"27,71,31,392","4,60,01,393","10,18,72,976","8,43,21,856","4,49,35,168"
Guinea,26-Mar-20,Low income,Sub-Saharan Africa,Open with limitations,2011,2016,2014,2014,10.599,-10.907,2761717,151512,1776560,715702,117943,"27,61,717","1,51,512","17,76,560","7,15,702","1,17,943"
Vietnam,27-Jan-20,Lower middle income,East Asia and Pacific,Open with limitations,2018,2018,1998,2016,21.75,105.373,21767816,4599841,8041842,6818774,2307361,"2,17,67,816","45,99,841","80,41,842","68,18,774","23,07,361"
Greece,28-Feb,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,39.787,21.617,2204532,152462,649246,667797,735027,"22,04,532","1,52,462","6,49,246","6,67,797","7,35,027"
Benin,30-Mar-20,Low income,Sub-Saharan Africa,Open with limitations,2018,2018,2016,2017,10.478,2.274,3515567,172424,2223966,992999,126178,"35,15,567","1,72,424","22,23,966","9,92,999","1,26,178"
Benin,31-Mar-20,Low income,Sub-Saharan Africa,Open with limitations,2018,2018,2016,2017,10.478,2.274,3515567,172424,2223966,992999,126178,"35,15,567","1,72,424","22,23,966","9,92,999","1,26,178"
Sierra Leone,31-Mar-20,Low income,Sub-Saharan Africa,Open with limitations,2018,2018,2017,2002,8.677,-11.779,1961620,90701,1369738,492140,9041,"19,61,620","90,701","13,69,738","4,92,140","9,041"
Cabo Verde,,Lower middle income,Sub-Saharan Africa,Open,2018,2018,2018,2018,15.416,-23.36,152574,23433,64127,53355,11659,"1,52,574","23,433","64,127","53,355","11,659"
Equatorial Guinea,,Upper middle income,Sub-Saharan Africa,Open,2015,2015,2005,2000,1.6342,10.4695,159539,39596,93396,25544,1003,"1,59,539","39,596","93,396","25,544","1,003"
Turkmenistan,,Upper middle income,Europe and Central Asia,Open,2014,2014,2014,2014,39.584,59.597,1242991,188518,359064,650998,44411,"12,42,991","1,88,518","3,59,064","6,50,998","44,411"
Fiji,19-Mar-20,Upper middle income,East Asia and Pacific,Open,2009,2016,2012,2005,-17.7941,177.9783,229247,9149,110127,97254,12717,"2,29,247","9,149","1,10,127","97,254","12,717"
Tuvalu,23-Mar-20,Upper middle income,East Asia and Pacific,Open,2018,2018,2018,,-7.4786,178.6758,3088,675,1324,1089,0,3088,675,"1,324","1,089",
Tonga,27-Mar-20,Upper middle income,East Asia and Pacific,Open,2015,2015,2015,2003,-21.167,-175.19,35704,2254,16982,15800,668,35704,"2,254","16,982","15,800",668
Burundi,"schools are running as usual except ""Ecole Francaise"" and ""Ecole Belge"". ",Low income,Sub-Saharan Africa,Open,2018,2018,2018,2017,-3.333,29.749,3015054,107591,2170884,674855,61724,"30,15,054","1,07,591","21,70,884","6,74,855","61,724"
Comoros,,Lower middle income,Sub-Saharan Africa,Not known,2018,2018,2018,2014,-11.6527,43.3307,219609,15175,124240,73695,6499,"2,19,609","15,175","1,24,240","73,695","6,499"
Kiribati,,Lower middle income,East Asia and Pacific,Not known,2003,2017,2008,,2.048,-158.59,33152,4874,16695,11583,0,33152,"4,874","16,695","11,583",
"Macao SAR, China",,High income,East Asia and Pacific,Not known,2018,2018,2018,2018,22.1404,113.5643,108677,18802,30169,26608,33098,"1,08,677","18,802","30,169","26,608","33,098"
Nauru,,Upper middle income,East Asia and Pacific,Not known,2016,2016,2016,,-0.5287,166.9315,3475,675,1808,992,0,3475,675,"1,808",992,
Solomon Islands,,Lower middle income,East Asia and Pacific,Not known,2018,2018,2012,,-9.5987,160.1487,195749,48661,105428,41660,0,"1,95,749","48,661","1,05,428","41,660",
Vanuatu,,Lower middle income,East Asia and Pacific,Not known,2015,2015,2015,2004,-15.339,166.89,81755,14301,45931,20568,955,81755,"14,301","45,931","20,568",955
Samoa,,Upper middle income,East Asia and Pacific,Not known,2018,2018,2016,2000,-13.6221,-172.439,65380,5111,33123,25964,1182,65380,"5,111","33,123","25,964","1,182"
